Date/Time,HC Air temperature [°C] (avg),Dew Point [°C] (max),Solar radiation [W/m2] (min),VPD [kPa] (avg),HC Relative humidity [%] (min),Precipitation [mm] (avg),Leaf Wetness [min] (avg),U-sonic wind speed [m/s] (min),Wind gust [m/s] (avg),U-sonic wind dir [deg] (max),Solar Panel [mV] (min),Battery [mV] (sum),DeltaT [°C] (time),Sunshine duration [min] (avg),avg,min,time,ET0 [mm]
2025-04-27 13:00:00,26.53,27.55,25.75,25.7,25.5,156,0.15,0.02,95.78,99.2,91.26,0,0,0.5,1,0,30,
2025-04-27 12:00:00,26.16,29.39,25.29,25.3,24.6,81,0.16,0.02,95.39,99.21,79.36,0,0,1.4,1,0,0,
2025-04-27 11:00:00,32.69,34.17,30.14,25.5,24.3,893,1.67,1.22,66.42,72.03,57.15,0,0,1.0,5,4,60,
2025-04-27 10:00:00,31.29,33.16,30.58,27.4,26.7,644,0.9,0.68,80.34,84.47,69.34,0,0,0.6,3,2,60,
2025-04-27 09:00:00,30.35,31.35,29.72,27.5,27.1,531,0.63,0.47,85.29,88.85,82.52,0,0,0.1,2,2,60,
2025-04-27 08:00:00,28.08,29.25,26.83,27.4,26.4,351,0.14,0.02,96.42,99.3,85.13,0,0,0.0,1,0,60,
2025-04-27 07:00:00,26.08,26.74,25.42,25.9,25.3,124,0.02,0.02,99.3,99.31,99.3,0,0,0.4,0,0,30,
2025-04-27 06:00:00,24.99,25.37,24.53,24.9,24.4,32,0.02,0.02,99.3,99.3,99.3,0,0,0.3,0,0,0,
2025-04-27 05:00:00,24.76,24.83,24.67,24.6,24.5,0,0.02,0.02,99.3,99.3,99.3,0,0,0.2,0,0,0,
2025-04-27 04:00:00,24.72,24.84,24.58,24.6,24.4,0,0.02,0.02,99.3,99.3,99.3,0,0,0.3,0,0,0,
2025-04-27 03:00:00,24.67,24.72,24.6,24.5,24.4,0,0.02,0.02,99.3,99.3,99.3,0,0,0.3,0,0,0,
2025-04-27 02:00:00,24.77,24.85,24.66,24.6,24.5,0,0.02,0.02,99.3,99.3,99.3,0,0,0.5,0,0,0,
2025-04-27 01:00:00,24.82,24.96,24.62,24.7,24.5,0,0.02,0.02,99.3,99.3,99.3,0,0,0.2,0,0,0,
2025-04-27 00:00:00,24.97,25.07,24.84,24.8,24.7,0,0.02,0.02,99.3,99.3,99.3,0,0,0.2,0,0,0,2.6
2025-04-26 23:00:00,25.11,25.21,24.94,24.9,24.8,0,0.02,0.02,99.3,99.3,99.3,0,0,0.2,0,0,0,
2025-04-26 22:00:00,25.24,25.28,25.17,25.1,25.0,0,0.02,0.02,99.3,99.3,99.3,0,0,0.5,0,0,0,
2025-04-26 21:00:00,25.33,25.48,25.22,25.2,25.1,0,0.02,0.02,99.29,99.3,99.29,0,0,0.1,0,0,0,
2025-04-26 20:00:00,25.53,25.62,25.41,25.4,25.2,0,0.02,0.02,99.29,99.29,99.29,0,0,0.7,0,0,0,
2025-04-26 19:00:00,25.5,25.67,25.34,25.3,25.2,0,0.02,0.02,99.29,99.29,99.27,0,0,0.3,0,0,0,
2025-04-26 18:00:00,25.91,26.13,25.7,25.7,25.5,0,0.02,0.02,99.26,99.28,99.24,0,0,0.2,0,0,0,
2025-04-26 17:00:00,26.28,26.37,26.17,26.1,26.0,50,0.02,0.02,99.22,99.24,99.2,0,0,0.1,0,0,0,
2025-04-26 16:00:00,26.33,26.69,26.23,26.2,26.0,99,0.02,0.02,99.22,99.24,99.21,0,0,0.4,0,0,0,
2025-04-26 15:00:00,27.56,27.78,26.92,27.3,26.7,130,0.05,0.02,98.47,99.24,95.61,0,0,0.2,0,0,25,
2025-04-26 14:00:00,27.15,27.82,26.27,26.9,26.1,162,0.04,0.02,98.69,99.27,96.78,0,30,0.4,0,0,55,
